Name,CNPJ,Management Fee,Minimum Investment,Performance Fee,Portfolio Manager,Liquidity Ratios,age_months,CVM Category_Fixed Income,CVM Category_Multimarket,CVM Category_Equities,CVM Category_FX,Tax Classification_Exempt,Tax Classification_Long Term,Tax Classification_Short Term,Private Credit Anbima_Not applicable,Private Credit Anbima_Yes,Leveraged Anbima_Yes,Legal Classification_FI,Legal Classification_FIC,Performance Fee Reference Index_100% do IBX,Performance Fee Reference Index_100% do Ibovespa,Performance Fee Reference Index_Other_performance_fee,Performance Fee Reference Index_There is not,Benchmark_Dollar,Benchmark_IBX,Benchmark_IMA-B,Benchmark_Ibovespa,Benchmark_Not Informed,Benchmark_Other_Benchmark,Last_Assets,Last_Assets_date,Assets_Flow_6m,Assets_Flow_12m,Assets_Flow_24m,Average_Assets_6m,Average_Assets_12m,Average_Assets_24m,Return_6m,Return_12m,Return_24m,Volatility_6m,Volatility_12m,Volatility_24m,Excess_Return_-_CDI_Opening_6m,Excess_Return_-_CDI_Opening_12m,Excess_Return_-_CDI_Opening_24m,Excess_Return_-_Ibovespa_6m,Excess_Return_-_Ibovespa_12m,Excess_Return_-_Ibovespa_24m,Excess_Return_-_Dollar_6m,Excess_Return_-_Dollar_12m,Excess_Return_-_Dollar_24m,#_Funds_managed,Manager_avg_Assets
ADAM MACRO ADVISORY FIC MULTIMERCADO,24.078.037/0001-09,0.025,50000,0.2,Márcio Appel,22,33,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1101471489.89,2019-01-31 00:00:00,-174632932.57,-195792395.51,-45727034.53,1168356401.23,1229727047.76,1210911900.5,0.039811905588,0.004658214358,0.16838520137100002,0.031352828868999996,0.057337332988,0.074705885062,0.008324307202,-0.059711031115,0.0017357953119999999,-0.18958990402099998,-0.145235862257,-0.310863583562,0.067242729311,-0.148998395973,0.014509881456,2.0,2607594003.5
AF INVEST GERAES FI RENDA FIXA CRÉDITO PRIVADO,09.720.734/0001-10,0.006,25000,0.0,Pedro Lopes Sternick,1,124,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3294419575.65,2019-01-31 00:00:00,807314980.53,2289305390.36,2913459021.49,2705538776.28,2079689546.95,1269853473.05,0.036760527066,0.075213919795,0.193759768417,0.00112818927,0.001053702265,0.001844785061,0.005272928681,0.010844674323,0.027110362358,-0.192641282543,-0.074680156819,-0.285489016516,0.06419135079,-0.078442690535,0.039884448502,2.0,1663736008.365
AF INVEST MINAS FI AÇÕES BDR NÍVEL I,11.209.172/0001-96,0.022000000000000002,25000,0.15,Pedro Lopes Sternick,11,107,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,33052441.08,2019-01-31 00:00:00,-341582.08,502012.05,8431785.86,26645208.07,25684354.14,21358207.25,0.361009800463,0.333485990219,0.7523629737580001,0.185205330611,0.174340423972,0.155951938405,0.32952220207800004,0.269116744747,0.585713567699,0.13160799085400002,0.183591913605,0.273114188825,0.388440624187,0.17982937988900002,0.598487653842,2.0,1663736008.365
ALASKA BLACK II FIC AÇÕES BDR NÍVEL I,26.648.868/0001-96,0.025,1000,0.2,Henrique Bredda,24,24,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,502226962.08,2019-01-31 00:00:00,129615716.77,246691035.66,358301928.7,322388002.15,266236583.65,155289685.15,0.355797781672,0.406096653134,1.222636250778,0.39293892107,0.366302641502,0.40138423073600005,0.324310183287,0.34172740766099996,1.055986844719,0.126395972063,0.25620257652,0.743387465845,0.383228605396,0.252440042804,1.068760930863,3.0,218354497.29
ALASKA CASH FI RENDA FIXA CRÉDITO PRIVADO,09.510.882/0001-00,0.005,5000,0.0,Henrique Bredda,1,128,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,17050282.26,2019-01-31 00:00:00,-2371350.87,-6542138.55,-9085820.23,17452194.8,19398082.46,20751606.38,0.029109748647,0.059807720139,0.161896034234,0.000548492719,0.000471951087,0.0015096295470000002,-0.002377849739,-0.004561525333,-0.004753371825,-0.200292060962,-0.090086356475,-0.317352750699,0.05654057237,-0.093848890191,0.008020714319,3.0,218354497.29
ALASKA RANGE FI MULTIMERCADO,13.001.211/0001-90,0.025,5000,0.2,Henrique Bredda,11,95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,135786247.53,2019-01-31 00:00:00,-4267196.48,-19027678.88,22636379.28,126682392.64,133360857.25,139928823.43,0.10006171995700001,-0.01320443067,0.053416510723,0.148170456466,0.157665930082,0.137096666893,0.06857412157199999,-0.077573676142,-0.113232895336,-0.129340089652,-0.163098507284,-0.42583227421,0.12749254368100002,-0.16686104100000002,-0.100458809192,3.0,218354497.29
ALFA AÇÕES PREMIUM FI AÇÕES,00.575.922/0001-27,0.02,10000,0.0,Ana Paula Soler Moreno Fachim ,4,284,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,32856508.64,2019-01-31 00:00:00,3652878.5,9135912.67,10899913.06,25609466.68,24058079.64,18874394.8,0.25250036136,0.19318589689,0.511597096845,0.25300832688700003,0.234860646787,0.226195325566,0.221012762975,0.128816651417,0.344947690786,0.023098551751,0.043291820275,0.032348311912,0.279931185084,0.039529286559,0.35772177693,6.0,85992165.97166666
ALFA CRÉDITO PRIVADO FIC RENDA FIXA CRÉDITO PRIVADO,09.290.598/0001-75,0.005,20000,0.0,Ana Paula Soler Moreno Fachim ,1,129,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,65817178.4,2019-01-31 00:00:00,-3930267.08,-6197106.86,11024892.24,68063952.11,67116002.71,63638785.92,0.029817268439,0.061161605009,0.16089146009299998,0.000196327754,0.000212973485,0.001302018389,-0.001670329946,-0.003207640464,-0.005757945966,-0.19958454117,-0.088732471605,-0.31835732484,0.057248092162999996,-0.09249500532100001,0.007016140178,6.0,85992165.97166666
ALFA EMPRESA FI RENDA FIXA REFERENCIADO DI,11.739.156/0001-05,0.003,100000,0.0,Ana Paula Soler Moreno Fachim ,0,95,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,36852498.66,2019-01-31 00:00:00,-10299391.22,-44463478.07,6150904.64,41576981.59,44416702.85,44694713.84,0.030816457274,0.062258702303,0.16328869383099998,0.000154770873,0.000161886398,0.0012919101350000002,-0.0006711411120000001,-0.00211054317,-0.003360712228,-0.198585352335,-0.08763537431099999,-0.315960091102,0.058247280996999995,-0.091397908027,0.009413373915,6.0,85992165.97166666
ALFA FI AÇÕES,03.907.174/0001-20,0.013000000000000001,1000,0.0,Guilherme Ernesto Sand,4,83,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,46432924.83,2019-01-31 00:00:00,-2332723.82,-3930403.21,-4733090.26,38116839.43,37119664.43,33624024.05,0.490931824566,0.426526161123,0.9906216488290001,0.30681037299,0.301424142035,0.32220128180700003,0.459444226181,0.362156915651,0.823972242769,0.261530014957,0.276632084509,0.511372863895,0.51836264829,0.272869550793,0.836746328913,5.0,51009127.27600001
