Name,CNPJ,Management Fee,Minimum Investment,Performance Fee,Portfolio Manager,Liquidity Ratios,age_months,CVM Category_Fixed Income,CVM Category_Multimarket,CVM Category_Equities,CVM Category_FX,Tax Classification_Exempt,Tax Classification_Long Term,Tax Classification_Short Term,Private Credit Anbima_Not applicable,Private Credit Anbima_Yes,Leveraged Anbima_Yes,Performance Fee Reference Index_100% do IBX,Performance Fee Reference Index_100% do Ibovespa,Performance Fee Reference Index_Other_performance_fee,Performance Fee Reference Index_There is not,Benchmark_Dollar,Benchmark_IBX,Benchmark_IMA-B,Benchmark_Ibovespa,Benchmark_Not Informed,Benchmark_Other_Benchmark,Last_Assets,Last_Assets_date,Assets_Flow_6m,Assets_Flow_12m,Assets_Flow_24m,Average_Assets_6m,Average_Assets_12m,Average_Assets_24m,Return_6m,Return_12m,Return_24m,Volatility_6m,Volatility_12m,Volatility_24m,Excess_Return_-_CDI_Opening_6m,Excess_Return_-_CDI_Opening_12m,Excess_Return_-_CDI_Opening_24m,Excess_Return_-_Ibovespa_6m,Excess_Return_-_Ibovespa_12m,Excess_Return_-_Ibovespa_24m,Excess_Return_-_Dollar_6m,Excess_Return_-_Dollar_12m,Excess_Return_-_Dollar_24m,#_Funds_managed,Manager_avg_Assets,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
BRADESCO VÊNUS FIC RENDA FIXA,00.793.947/0001-05,0.035,100,0.0,Ricardo Pereira de Almeida,0,279,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,125526810.97,2019-02-01 00:00:00,-12733401.91,-27386179.99,-48750812.5,130726393.02,136817251.8,147257276.98,0.014775231984000001,0.028599694523,0.095716214077,0.0008818579519999999,0.001823583151,0.0038232118449999996,-0.016712366402000002,-0.035769550949,-0.070933191982,-0.21462657762499998,-0.121294382091,-0.383532570856,0.042206055707,-0.125056915807,-0.058159105839,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO VERSÁTIL FIC RENDA FIXA CURTO PRAZO,01.960.341/0001-71,0.025,100,0.0,Ricardo Pereira de Almeida,0,258,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,89112155.97,2019-02-01 00:00:00,-3460857.33,-6844974.19,20749432.13,89068993.86,90549262.94,92179853.25,0.017934148963,0.035727901195,0.100217729275,0.000172004223,0.00017381339999999998,0.001155235152,-0.013553449422,-0.028641344278,-0.066431676784,-0.21146766064599998,-0.114166175419,-0.37903105565800005,0.045364972687,-0.117928709136,-0.05365759064,85.0,1103907477.1732938,-1,1,4,2,0
BRADESCO YIELD FI RENDA FIXA LP,03.054.724/0001-06,0.005,20000,0.2,Ricardo Pereira de Almeida,1,237,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5769276.33,2019-01-31 00:00:00,-909118.69,-3794609.79,-6919815.75,6148879.54,6774295.75,8567169.85,0.025227527559000002,0.052642352805,0.14509354484099998,0.00010392704,0.000365744845,0.001373819285,-0.0062600708260000006,-0.011726892668000002,-0.021555861218,-0.20417428205,-0.09725172380899999,-0.334155240092,0.052658351283,-0.101014257525,-0.008781775074,85.0,1103907477.1732938,0,1,4,2,2
BRASIL CAPITAL 30 FIC AÇÕES,14.866.273/0001-28,0.0188,15000,0.2,André Carvalhaes Ribeiro,25,77,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,356145511.22,2019-01-31 00:00:00,18420736.97,101282564.76,241726612.94,274331202.99,256030099.32,160028681.74,0.322186289801,0.22461022939800002,0.6487596680369999,0.17833002868700001,0.16560923667000002,0.155138947268,0.290698691415,0.160240983926,0.48211026197800005,0.09278448019200002,0.074716152784,0.169510883104,0.34961711352400004,0.070953619068,0.49488434812200005,1.0,356145511.22,1,0,1,3,3
BRASIL PLURAL BANESE EXPERT FI RENDA FIXA REFERENCIADO DI,00.830.599/0001-90,0.00925,500,0.0,Rafael Zlot,0,279,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10627349.99,2019-01-31 00:00:00,-613451.09,-478256.81,-7769185.38,10810057.04,10836858.72,14200674.34,0.022739876787999998,0.048025087368,0.13801795522399998,0.000196317601,0.000267334891,0.0014318818480000002,-0.008747721598,-0.016344158105,-0.028631450835,-0.20666193282099998,-0.101868989246,-0.341230829709,0.050170700511000005,-0.105631522962,-0.015857364691999998,5.0,302482699.25200003,0,1,4,2,2
BRASIL PLURAL CRÉDITO CORPORATIVO II FIC RENDA FIXA CRÉDITO PRIVADO LP,18.316.558/0001-46,0.0085,3000,0.2,Rafael Zlot,33,64,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,457114309.65,2019-01-31 00:00:00,168600783.78,257721312.55,275033612.56,362479149.72,285609281.98,226963293.87,0.036053262785000005,0.073544924013,0.18604627459000003,0.001206795649,0.001068690343,0.001709901727,0.004565664399,0.009175678541,0.019396868531,-0.193348546824,-0.07634915260099999,-0.293202510343,0.063484086508,-0.080111686317,0.032170954674999995,5.0,302482699.25200003,0,1,4,0,1
BRASIL PLURAL DEBÊNTURES INCENTIVADAS 45 FIC MULTIMERCADO CRÉDITO PRIVADO,24.623.412/0001-46,0.011,100,0.2,Rafael Zlot,33,29,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,169035026.22,2019-01-31 00:00:00,86968661.71,72211225.04,73711372.19,106746870.41,95488381.46,98660147.82,0.049673618864,0.09557284804999999,0.196372094901,0.013017489387999999,0.013276599209,0.024602060043,0.018186020479,0.031203602577,0.029722688842,-0.179728190745,-0.054321228565,-0.282876690033,0.077104442587,-0.05808376228100001,0.042496774985,5.0,302482699.25200003,-1,3,2,0,1
BRASIL PLURAL HIGH YIELD FI RENDA FIXA CRÉDITO PRIVADO,15.350.679/0001-16,0.004,3000,0.0,Rafael Zlot,1,80,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,642420770.07,2019-02-01 00:00:00,-363350534.51,-170966052.65,-480584530.82,813478805.32,819346450.18,877966996.32,0.032090645971999995,0.065020331165,0.16932317940699998,0.000680273108,0.0005690943420000001,0.00138740229,0.0006030475869999999,0.0006510856930000001,0.0026737733480000003,-0.197311163637,-0.084873745449,-0.309925605526,0.059521469694999996,-0.088636279165,0.015447859492,5.0,302482699.25200003,0,1,4,2,2
BRASIL PLURAL YIELD FI RENDA FIXA REFERENCIADO DI,11.616.354/0001-81,0.003,3000,0.0,Rafael Zlot,0,106,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,233216040.33,2019-02-01 00:00:00,-88796866.26,-71665088.81,-59961352.16,286965027.9,293992263.53,274806916.22,0.030464836887,0.062230054525,0.165553370503,0.000150280405,0.000227052874,0.001368026296,-0.001022761498,-0.0021391909469999997,-0.0010960355560000001,-0.198936972722,-0.08766402208900001,-0.31369541443000004,0.057895660610999995,-0.091426555805,0.011678050588,5.0,302482699.25200003,0,1,4,2,2
BRB 5 MIL FI MULTIMERCADO LP,01.978.445/0001-03,0.01,5000,0.25,Andréa Moreira Lopes,3,258,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637612.71,2019-01-31 00:00:00,-142159.4,-201220.68,-1110672.25,3604219.6,3674799.8,3862774.9,0.020305523839,0.043079651607999994,0.113535401447,0.015838127308,0.012338264742999998,0.01069764747,-0.011182074546,-0.021289593864000003,-0.053114004612,-0.20909628577,-0.10681442500600001,-0.365713383486,0.04773634756299999,-0.11057695872199999,-0.040339918468,12.0,100085349.4025,0,2,2,0,1
